@relation HW4_TRAIN_SONAR_NOISE

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 numeric
@attribute F22 numeric
@attribute F23 numeric
@attribute F24 numeric
@attribute F25 numeric
@attribute F26 numeric
@attribute F27 numeric
@attribute F28 numeric
@attribute F29 numeric
@attribute F30 numeric
@attribute F31 numeric
@attribute F32 numeric
@attribute F33 numeric
@attribute F34 numeric
@attribute F35 numeric
@attribute F36 numeric
@attribute F37 numeric
@attribute F38 numeric
@attribute F39 numeric
@attribute F40 numeric
@attribute F41 numeric
@attribute F42 numeric
@attribute F43 numeric
@attribute F44 numeric
@attribute F45 numeric
@attribute F46 numeric
@attribute F47 numeric
@attribute F48 numeric
@attribute F49 numeric
@attribute F50 numeric
@attribute F51 numeric
@attribute F52 numeric
@attribute F53 numeric
@attribute F54 numeric
@attribute F55 numeric
@attribute F56 numeric
@attribute F57 numeric
@attribute F58 numeric
@attribute F59 numeric
@attribute F60 numeric
@attribute F61 numeric
@attribute F62 numeric
@attribute F63 numeric
@attribute F64 numeric
@attribute F65 numeric
@attribute F66 numeric
@attribute F67 numeric
@attribute F68 numeric
@attribute F69 numeric
@attribute F70 numeric
@attribute F71 numeric
@attribute F72 numeric
@attribute F73 numeric
@attribute F74 numeric
@attribute F75 numeric
@attribute F76 numeric
@attribute F77 numeric
@attribute F78 numeric
@attribute F79 numeric
@attribute F80 numeric
@attribute F81 numeric
@attribute F82 numeric
@attribute F83 numeric
@attribute F84 numeric
@attribute F85 numeric
@attribute F86 numeric
@attribute F87 numeric
@attribute F88 numeric
@attribute F89 numeric
@attribute F90 numeric
@attribute CLASS_LABEL {1,-1}

@data
0.0109,0.0093,0.0121,0.0378,0.0679,0.0863,0.1004,0.0664,0.0941,0.1036,0.0972,0.0501,0.1546,0.3404,0.4804,0.657,0.7738,0.7827,0.8152,0.8129,0.8297,0.8535,0.887,0.8894,0.898,0.9667,1,0.9134,0.6762,0.4659,0.2895,0.2959,0.1746,0.2112,0.2569,0.2276,0.2149,0.1601,0.0371,0.0117,0.0488,0.0288,0.0597,0.0431,0.0369,0.0025,0.0327,0.0257,0.0182,0.0108,0.0124,0.0077,0.0023,0.0117,0.0053,0.0077,0.0076,0.0056,0.0055,0.0039,0.62486,0.63335,0.41538,0.081984,0.21412,0.37687,0.95536,0.19337,0.6187,0.19117,0.23666,0.30697,0.9238,0.25856,0.52339,0.26964,0.40207,0.9921,0.42069,0.1767,0.84631,0.48567,0.026446,0.27563,0.67202,0.47679,0.54644,0.079207,0.82152,0.86175,-1
0.0491,0.0279,0.0592,0.127,0.1772,0.1908,0.2217,0.0768,0.1246,0.2028,0.0947,0.2497,0.2209,0.3195,0.334,0.3323,0.278,0.2975,0.2948,0.1729,0.3264,0.3834,0.3523,0.541,0.5228,0.4475,0.534,0.5323,0.3907,0.3456,0.4091,0.4639,0.558,0.5727,0.6355,0.7563,0.6903,0.6176,0.5379,0.5622,0.6508,0.4797,0.3736,0.2804,0.1982,0.2438,0.1789,0.1706,0.0762,0.0238,0.0268,0.0081,0.0129,0.0161,0.0063,0.0119,0.0194,0.014,0.0332,0.0439,0.94173,0.80509,0.98548,0.37496,0.54916,0.30124,0.87728,0.64674,0.20099,0.52694,0.93352,0.02652,0.17204,0.72238,0.4038,0.86061,0.18692,0.98598,0.48043,0.58289,0.86194,0.8599,0.61552,0.36234,0.80839,0.7427,0.4367,0.87411,0.20364,0.5533,1
0.0139,0.0222,0.0089,0.0108,0.0215,0.0136,0.0659,0.0954,0.0786,0.1015,0.1261,0.0828,0.0493,0.0848,0.1514,0.1396,0.1066,0.1923,0.2991,0.3247,0.3797,0.5658,0.7483,0.8757,0.9048,0.7511,0.6858,0.7043,0.5864,0.3773,0.2206,0.2628,0.2672,0.2907,0.1982,0.2288,0.3186,0.2871,0.2921,0.2806,0.2682,0.2112,0.1513,0.1789,0.185,0.1717,0.0898,0.0656,0.0445,0.011,0.0024,0.0062,0.0072,0.0113,0.0012,0.0022,0.0025,0.0059,0.0039,0.0048,0.5668,0.82996,0.84265,0.087008,0.06977,0.91839,0.87231,0.11129,0.4232,0.28061,0.70341,0.71046,0.83025,0.99635,0.054964,0.80122,0.38935,0.53618,0.90983,0.41911,0.75872,0.72821,0.19829,0.53434,0.67691,0.53355,0.19677,0.60486,0.19193,0.79564,-1
0.0262,0.0582,0.1099,0.1083,0.0974,0.228,0.2431,0.3771,0.5598,0.6194,0.6333,0.706,0.5544,0.532,0.6479,0.6931,0.6759,0.7551,0.8929,0.8619,0.7974,0.6737,0.4293,0.3648,0.5331,0.2413,0.507,0.8533,0.6036,0.8514,0.8512,0.5045,0.1862,0.2709,0.4232,0.3043,0.6116,0.6756,0.5375,0.4719,0.4647,0.2587,0.2129,0.2222,0.2111,0.0176,0.1348,0.0744,0.013,0.0106,0.0033,0.0232,0.0166,0.0095,0.018,0.0244,0.0316,0.0164,0.0095,0.0078,0.69312,0.56722,0.052403,0.31815,0.86045,0.47735,0.49403,0.50591,0.80902,0.40839,0.67564,0.84363,0.41084,0.55531,0.36432,0.26247,0.88512,0.8944,0.57212,0.30261,0.93773,0.54257,0.86476,0.93821,0.93072,0.6351,0.20464,0.84755,0.88982,0.94986,-1
0.0635,0.0709,0.0453,0.0333,0.0185,0.126,0.1015,0.1918,0.3362,0.39,0.4674,0.5632,0.5506,0.4343,0.3052,0.3492,0.3975,0.3875,0.528,0.7198,0.7702,0.8562,0.8688,0.9236,1,0.9662,0.9822,0.736,0.4158,0.2918,0.328,0.369,0.345,0.2863,0.0864,0.3724,0.4649,0.3488,0.1817,0.1142,0.122,0.2621,0.4461,0.4726,0.3263,0.1423,0.039,0.0406,0.0311,0.0086,0.0154,0.0048,0.0025,0.0087,0.0072,0.0095,0.0086,0.0085,0.004,0.0051,0.97859,0.26004,0.72752,0.45323,0.20838,0.18039,0.5311,0.68492,0.32892,0.23985,0.39364,0.049888,0.77034,0.64368,0.098576,0.89885,0.59522,0.23555,0.42484,0.45497,0.64762,0.63076,0.9282,0.28331,0.63892,0.9574,0.09015,0.71518,0.7325,0.74584,1
0.0191,0.0173,0.0291,0.0301,0.0463,0.069,0.0576,0.1103,0.2423,0.3134,0.4786,0.5239,0.4393,0.344,0.2869,0.3889,0.442,0.3892,0.4088,0.5006,0.7271,0.9385,1,0.9831,0.9932,0.9161,0.8237,0.6957,0.4536,0.3281,0.2522,0.3964,0.4154,0.3308,0.1445,0.1923,0.3208,0.3367,0.5683,0.5505,0.3231,0.0448,0.3131,0.3387,0.413,0.3639,0.2069,0.0859,0.06,0.0267,0.0125,0.004,0.0136,0.0137,0.0172,0.0132,0.011,0.0122,0.0114,0.0068,0.89912,0.78453,0.11496,0.16108,0.23863,0.29704,0.032261,0.15703,0.27335,0.35756,0.6475,0.24563,0.34002,0.68081,0.60997,0.12589,0.6282,0.47851,0.45442,0.40389,0.99603,0.26908,0.84726,0.63981,0.57291,0.24304,0.0045209,0.95988,0.75226,0.061983,1
0.0473,0.0509,0.0819,0.1252,0.1783,0.307,0.3008,0.2362,0.383,0.3759,0.3021,0.2909,0.2301,0.1411,0.1582,0.243,0.4474,0.5964,0.6744,0.7969,0.8319,0.7813,0.8626,0.7369,0.4122,0.2596,0.3392,0.3788,0.4488,0.6281,0.7449,0.7328,0.7704,0.787,0.6048,0.586,0.6385,0.7279,0.6286,0.5316,0.4069,0.1791,0.1625,0.2527,0.1903,0.1643,0.0604,0.0209,0.0436,0.0175,0.0107,0.0193,0.0118,0.0064,0.0042,0.0054,0.0049,0.0082,0.0028,0.0027,0.64848,0.16921,0.48538,0.059868,0.38059,0.8293,0.75016,0.37337,0.81883,0.16432,0.44926,0.95016,0.89134,0.95281,0.2234,0.85653,0.96066,0.90757,0.95121,0.89228,0.73622,0.59181,0.038806,0.037742,0.99068,0.62884,0.18713,0.19362,0.4039,0.19035,-1
0.0223,0.0375,0.0484,0.0475,0.0647,0.0591,0.0753,0.0098,0.0684,0.1487,0.1156,0.1654,0.3833,0.3598,0.1713,0.1136,0.0349,0.3796,0.7401,0.9925,0.9802,0.889,0.6712,0.4286,0.3374,0.7366,0.9611,0.7353,0.4856,0.1594,0.3007,0.4096,0.317,0.3305,0.3408,0.2186,0.2463,0.2726,0.168,0.2792,0.2558,0.174,0.2121,0.1099,0.0985,0.1271,0.1459,0.1164,0.0777,0.0439,0.0061,0.0145,0.0128,0.0145,0.0058,0.0049,0.0065,0.0093,0.0059,0.0022,0.98292,0.27426,0.86859,0.44487,0.28737,0.61812,0.75835,0.80837,0.20647,0.0025297,0.98997,0.11008,0.85543,0.3664,0.58067,0.82472,0.23976,0.66374,0.58295,0.42059,0.057479,0.86631,0.52722,0.7572,0.054552,0.74615,0.65135,0.075144,0.72178,0.74645,-1
0.026,0.0192,0.0254,0.0061,0.0352,0.0701,0.1263,0.108,0.1523,0.163,0.103,0.2187,0.1542,0.263,0.294,0.2978,0.0699,0.1401,0.299,0.3915,0.3598,0.2403,0.4208,0.5675,0.6094,0.6323,0.6549,0.7673,1,0.8463,0.5509,0.4444,0.5169,0.4268,0.1802,0.0791,0.0535,0.1906,0.2561,0.2153,0.2769,0.2841,0.1733,0.0815,0.0335,0.0933,0.1018,0.0309,0.0208,0.0318,0.0132,0.0118,0.012,0.0051,0.007,0.0015,0.0035,0.0008,0.0044,0.0077,0.16381,0.0049032,0.016704,0.28527,0.75052,0.6636,0.58356,0.90932,0.65457,0.40666,0.093615,0.95797,0.1319,0.46922,0.33051,0.45387,0.31803,0.43575,0.39144,0.74094,0.0093453,0.92554,0.36382,0.1874,0.085061,0.85253,0.59572,0.084132,0.41684,0.10922,-1
0.01,0.0171,0.0623,0.0205,0.0205,0.0368,0.1098,0.1276,0.0598,0.1264,0.0881,0.1992,0.0184,0.2261,0.1729,0.2131,0.0693,0.2281,0.406,0.3973,0.2741,0.369,0.5556,0.4846,0.314,0.5334,0.5256,0.252,0.209,0.3559,0.626,0.734,0.612,0.3497,0.3953,0.3012,0.5408,0.8814,0.9857,0.9167,0.6121,0.5006,0.321,0.3202,0.4295,0.3654,0.2655,0.1576,0.0681,0.0294,0.0241,0.0121,0.0036,0.015,0.0085,0.0073,0.005,0.0044,0.004,0.0117,0.50979,0.39756,0.81891,0.19918,0.31894,0.6162,0.37012,0.16069,0.57601,0.27962,0.46837,0.34539,0.68237,0.12854,0.74649,0.12809,0.2862,0.85399,0.55808,0.26747,0.83091,0.95112,0.070128,0.50963,0.96125,0.67086,0.94229,0.96106,0.98659,0.97674,-1
0.0423,0.0321,0.0709,0.0108,0.107,0.0973,0.0961,0.1323,0.2462,0.2696,0.3412,0.4292,0.3682,0.394,0.2965,0.3172,0.2825,0.305,0.2408,0.542,0.6802,0.632,0.5824,0.6805,0.5984,0.8412,0.9911,0.9187,0.8005,0.6713,0.5632,0.7332,0.6038,0.2575,0.0349,0.1799,0.3039,0.476,0.5756,0.4254,0.5046,0.7179,0.6163,0.5663,0.5749,0.3593,0.2526,0.2299,0.1271,0.0356,0.0367,0.0176,0.0035,0.0093,0.0121,0.0075,0.0056,0.0021,0.0043,0.0017,0.62735,0.026552,0.78387,0.50981,0.10737,0.26127,0.492,0.73795,0.56371,0.17728,0.69368,0.88045,0.14958,0.079807,0.78161,0.082199,0.91801,0.39604,0.98655,0.24425,0.33501,0.066704,0.24826,0.59204,0.40543,0.96878,0.6402,0.96524,0.53905,0.77333,1
0.0176,0.0172,0.0501,0.0285,0.0262,0.0351,0.0362,0.0535,0.0258,0.0474,0.0526,0.1854,0.104,0.0948,0.0912,0.1688,0.1568,0.0375,0.1316,0.2086,0.1976,0.0946,0.1965,0.1242,0.0616,0.2141,0.4642,0.6471,0.634,0.6107,0.7046,0.5376,0.5934,0.8443,0.9481,0.9705,0.7766,0.6313,0.576,0.6148,0.545,0.4813,0.3406,0.1916,0.1134,0.064,0.0911,0.098,0.0563,0.0187,0.0088,0.0042,0.0175,0.0171,0.0079,0.005,0.0112,0.0179,0.0294,0.0063,0.8,0.8547,0.19371,0.019478,0.80614,0.8725,0.52718,0.5557,0.31468,0.58566,0.94182,0.27603,0.41037,0.54401,0.11913,0.17417,0.80855,0.46861,0.78362,0.16536,0.26897,0.94614,0.059064,0.23906,0.68528,0.0028657,0.44918,0.93228,0.42371,0.9943,-1
0.0388,0.0324,0.0688,0.0898,0.1267,0.1515,0.2134,0.2613,0.2832,0.2718,0.3645,0.3934,0.3843,0.4677,0.5364,0.4823,0.4835,0.5862,0.7579,0.6997,0.6918,0.8633,0.9107,0.9346,0.7884,0.8585,0.9261,0.708,0.5779,0.5215,0.4505,0.3129,0.1448,0.1046,0.182,0.1519,0.1017,0.1438,0.1986,0.2039,0.2778,0.2879,0.1331,0.114,0.131,0.1433,0.0624,0.01,0.0098,0.0131,0.0152,0.0255,0.0071,0.0263,0.0079,0.0111,0.0107,0.0068,0.0097,0.0067,0.41777,0.20489,0.91284,0.8301,0.25206,0.0053681,0.44872,0.18786,0.14566,0.72152,0.63151,0.71445,0.54995,0.67231,0.43099,0.72745,0.97746,0.45,0.088222,0.60717,0.1083,0.49663,0.23134,0.48582,0.40604,0.079964,0.37682,0.68691,0.070978,0.31727,1
0.018,0.0444,0.0476,0.0698,0.1615,0.0887,0.0596,0.1071,0.3175,0.2918,0.3273,0.3035,0.3033,0.2587,0.1682,0.1308,0.2803,0.4519,0.6641,0.7683,0.696,0.4393,0.2432,0.2886,0.4974,0.8172,1,0.9238,0.8519,0.7722,0.5772,0.519,0.6824,0.622,0.5054,0.3578,0.3809,0.3813,0.3359,0.2771,0.3648,0.3834,0.3453,0.2096,0.1031,0.0798,0.0701,0.0526,0.0241,0.0117,0.0122,0.0122,0.0114,0.0098,0.0027,0.0025,0.0026,0.005,0.0073,0.0022,0.054834,0.86035,0.68369,0.20039,0.5039,0.36526,0.1424,0.69001,0.13022,0.72126,0.61712,0.049716,0.5518,0.84351,0.14534,0.48697,0.1731,0.32398,0.3785,0.61507,0.18166,0.068027,0.93544,0.92062,0.99499,0.5677,0.0087901,0.13829,0.8457,0.73397,1
0.0202,0.0104,0.0325,0.0239,0.0807,0.1529,0.1154,0.0608,0.1317,0.137,0.0843,0.0269,0.1254,0.3046,0.5584,0.7973,0.8341,0.8057,0.8616,0.8769,0.9413,0.9403,0.9409,1,0.9725,0.9309,0.9351,0.7317,0.4421,0.3244,0.4161,0.4611,0.4031,0.3,0.2459,0.1348,0.2541,0.2255,0.1598,0.1485,0.0845,0.0569,0.0855,0.1262,0.1153,0.057,0.0426,0.0425,0.0235,0.0006,0.0188,0.0127,0.0081,0.0067,0.0043,0.0065,0.0049,0.0054,0.0073,0.0054,0.51914,0.056125,0.88839,0.42656,0.039851,0.59197,0.65274,0.29982,0.84267,0.50859,0.64353,0.10725,0.773,0.59832,0.099509,0.50692,0.80519,0.87082,0.7695,0.92751,0.3838,0.15364,0.80672,0.36253,0.83789,0.33741,0.21669,0.64775,0.65747,0.81552,-1
0.0664,0.0575,0.0842,0.0372,0.0458,0.0771,0.0771,0.113,0.2353,0.1838,0.2869,0.4129,0.3647,0.1984,0.284,0.4039,0.5837,0.6792,0.6086,0.4858,0.3246,0.2013,0.2082,0.1686,0.2484,0.2736,0.2984,0.4655,0.699,0.7474,0.7956,0.7981,0.6715,0.6942,0.744,0.8169,0.8912,1,0.8753,0.7061,0.6803,0.5898,0.4618,0.3639,0.1492,0.1216,0.1306,0.1198,0.0578,0.0235,0.0135,0.0141,0.019,0.0043,0.0036,0.0026,0.0024,0.0162,0.0109,0.0079,0.13453,0.22351,0.71287,0.73309,0.62419,0.92484,0.67467,0.63227,0.47461,0.32593,0.15153,0.85899,0.74075,0.062401,0.51368,0.91994,0.3644,0.8833,0.19941,0.95822,0.8371,0.29607,0.038068,0.06354,0.24599,0.607,0.44319,0.40749,0.3673,0.41541,-1
